,alef,bet,gimel,dalet,he,waw,zayin,chet,tet,yod,kaf,kaf sofit,lamed,mem,mem sofit,nun,nun sofit,samech,ayin,pe,pe sofit,tsadi,tsadi sofit,qof,resh,shin,tav
alef,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0
bet,0,12,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
gimel,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0
dalet,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
he,0,1,0,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
waw,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zayin,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0
chet,0,0,0,1,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tet,0,0,0,0,1,1,0,0,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
yod,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kaf,0,1,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaf sofit,0,0,0,4,0,0,0,0,0,0,1,6,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
lamed,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,1,1,0,0,0,0,0,0,0,0,0,0
mem,0,1,0,0,1,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0
mem sofit,0,1,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2
nun,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
nun sofit,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
samech,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,1,0,0,0,0,0,1,0
ayin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2,0,1,0,0,0,0
pe,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
pe sofit,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,9,0,1,0,0,0,0
tsadi,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,13,0,1,0,0,0
tsadi sofit,0,0,1,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,1,4,2,1,1,0
qof,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0
resh,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
shin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0
tav,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13
